Year,Units,Age,Types of skills,Regions,Value
2017,Percent,Age 15 years and older,Development of computer programs using a special software language,Kostanay,0.9
2018,Percent,Age 15 years and older,Development of computer programs using a special software language,Kostanay,0.8
2015,Percent,Age 15 years and older,Copying or transferring a file or folder,Kyzylorda,15.5
2016,Percent,Age 15 years and older,Copying or transferring a file or folder,Kyzylorda,16.3
2017,Percent,Age 15 years and older,Copying or transferring a file or folder,Kyzylorda,17.5
2018,Percent,Age 15 years and older,Copying or transferring a file or folder,Kyzylorda,15.0
2015,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Kyzylorda,16.0
2016,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Kyzylorda,17.4
2017,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Kyzylorda,16.8
2018,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Kyzylorda,17.6
2015,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Kyzylorda,22.3
2016,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Kyzylorda,22.5
2017,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Kyzylorda,22.4
2018,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Kyzylorda,25.3
2015,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Kyzylorda,27.3
2016,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Kyzylorda,37.3
2017,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Kyzylorda,36.7
2018,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Kyzylorda,33.5
2015,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Kyzylorda,10.7
2016,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Kyzylorda,9.1
2017,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Kyzylorda,9.5
2018,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Kyzylorda,11.5
2015,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Kyzylorda,14.6
2016,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Kyzylorda,13.8
2017,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Kyzylorda,15.7
2018,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Kyzylorda,19.4
2015,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Kyzylorda,10.7
2016,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Kyzylorda,11.4
2017,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Kyzylorda,14.3
2018,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Kyzylorda,13.8
2015,Percent,Age 15 years and older,Transferring files between computers and other devices,Kyzylorda,16.5
2016,Percent,Age 15 years and older,Transferring files between computers and other devices,Kyzylorda,17.9
2017,Percent,Age 15 years and older,Transferring files between computers and other devices,Kyzylorda,15.8
2018,Percent,Age 15 years and older,Transferring files between computers and other devices,Kyzylorda,11.9
2015,Percent,Age 15 years and older,Development of computer programs using a special software language,Kyzylorda,3.8
2016,Percent,Age 15 years and older,Development of computer programs using a special software language,Kyzylorda,5.2
2017,Percent,Age 15 years and older,Development of computer programs using a special software language,Kyzylorda,4.9
2018,Percent,Age 15 years and older,Development of computer programs using a special software language,Kyzylorda,6.8
2015,Percent,Age 15 years and older,Copying or transferring a file or folder,Mangistau,16.2
2016,Percent,Age 15 years and older,Copying or transferring a file or folder,Mangistau,32.0
2017,Percent,Age 15 years and older,Copying or transferring a file or folder,Mangistau,8.9
2018,Percent,Age 15 years and older,Copying or transferring a file or folder,Mangistau,17.4
2015,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Mangistau,11.3
2016,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Mangistau,3.4
2017,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Mangistau,3.9
2018,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Mangistau,8.6
2015,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Mangistau,54.7
2016,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Mangistau,50.1
2017,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Mangistau,51.3
2018,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Mangistau,59.0
2015,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Mangistau,31.9
2016,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Mangistau,32.0
2017,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Mangistau,25.7
2018,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Mangistau,40.1
2015,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Mangistau,7.1
2016,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Mangistau,4.7
2017,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Mangistau,11.4
2018,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Mangistau,9.1
2015,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Mangistau,23.4
2016,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Mangistau,9.1
2017,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Mangistau,12.3
2018,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Mangistau,29.9
2015,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Mangistau,14.6
2016,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Mangistau,6.6
2017,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Mangistau,22.6
2018,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Mangistau,19.8
2015,Percent,Age 15 years and older,Transferring files between computers and other devices,Mangistau,12.0
2016,Percent,Age 15 years and older,Transferring files between computers and other devices,Mangistau,9.9
2017,Percent,Age 15 years and older,Transferring files between computers and other devices,Mangistau,5.8
2018,Percent,Age 15 years and older,Transferring files between computers and other devices,Mangistau,4.2
2015,Percent,Age 15 years and older,Development of computer programs using a special software language,Mangistau,2.8
2016,Percent,Age 15 years and older,Development of computer programs using a special software language,Mangistau,2.2
2017,Percent,Age 15 years and older,Development of computer programs using a special software language,Mangistau,4.2
2018,Percent,Age 15 years and older,Development of computer programs using a special software language,Mangistau,3.9
2015,Percent,Age 15 years and older,Copying or transferring a file or folder,Pavlodar,22.5
2016,Percent,Age 15 years and older,Copying or transferring a file or folder,Pavlodar,26.9
2017,Percent,Age 15 years and older,Copying or transferring a file or folder,Pavlodar,26.2
2018,Percent,Age 15 years and older,Copying or transferring a file or folder,Pavlodar,34.1
2015,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Pavlodar,20.8
2016,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Pavlodar,20.4
2017,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Pavlodar,25.0
2018,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Pavlodar,26.7
2015,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Pavlodar,41.4
2016,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Pavlodar,52.3
2017,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Pavlodar,44.8
2018,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Pavlodar,47.6
2015,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Pavlodar,35.4
2016,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Pavlodar,22.8
2017,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Pavlodar,23.2
2018,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Pavlodar,30.7
2015,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Pavlodar,11.2
2016,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Pavlodar,9.8
2017,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Pavlodar,9.8
2018,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Pavlodar,8.8
2015,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Pavlodar,8.9
2016,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Pavlodar,11.5
2017,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Pavlodar,7.9
2018,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Pavlodar,13.6
2015,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Pavlodar,19.4
2016,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Pavlodar,9.5
2017,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Pavlodar,12.1
2018,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Pavlodar,15.1
2015,Percent,Age 15 years and older,Transferring files between computers and other devices,Pavlodar,37.7
2016,Percent,Age 15 years and older,Transferring files between computers and other devices,Pavlodar,18.0
2017,Percent,Age 15 years and older,Transferring files between computers and other devices,Pavlodar,27.3
2018,Percent,Age 15 years and older,Transferring files between computers and other devices,Pavlodar,30.8
2015,Percent,Age 15 years and older,Development of computer programs using a special software language,Pavlodar,4.4
2016,Percent,Age 15 years and older,Development of computer programs using a special software language,Pavlodar,3.1
2017,Percent,Age 15 years and older,Development of computer programs using a special software language,Pavlodar,1.4
2018,Percent,Age 15 years and older,Development of computer programs using a special software language,Pavlodar,3.7
2015,Percent,Age 15 years and older,Copying or transferring a file or folder,Soltustik Kazakhstan,33.8
2016,Percent,Age 15 years and older,Copying or transferring a file or folder,Soltustik Kazakhstan,36.4
2017,Percent,Age 15 years and older,Copying or transferring a file or folder,Soltustik Kazakhstan,47.9
2018,Percent,Age 15 years and older,Copying or transferring a file or folder,Soltustik Kazakhstan,48.7
2015,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Soltustik Kazakhstan,16.8
2016,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Soltustik Kazakhstan,19.5
2017,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Soltustik Kazakhstan,19.2
2018,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Soltustik Kazakhstan,31.2
2015,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Soltustik Kazakhstan,41.2
2016,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Soltustik Kazakhstan,53.5
2017,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Soltustik Kazakhstan,50.2
2018,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Soltustik Kazakhstan,51.1
2015,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Soltustik Kazakhstan,35.2
2016,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Soltustik Kazakhstan,36.7
2017,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Soltustik Kazakhstan,34.8
2018,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Soltustik Kazakhstan,48.4
2015,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Soltustik Kazakhstan,16.8
2016,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Soltustik Kazakhstan,16.2
2017,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Soltustik Kazakhstan,11.8
2018,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Soltustik Kazakhstan,12.7
2015,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Soltustik Kazakhstan,9.0
2016,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Soltustik Kazakhstan,6.2
2017,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Soltustik Kazakhstan,11.8
2018,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Soltustik Kazakhstan,12.6
2015,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Soltustik Kazakhstan,17.1
2016,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Soltustik Kazakhstan,14.5
2017,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Soltustik Kazakhstan,16.8
2018,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Soltustik Kazakhstan,21.4
2015,Percent,Age 15 years and older,Transferring files between computers and other devices,Soltustik Kazakhstan,22.8
2016,Percent,Age 15 years and older,Transferring files between computers and other devices,Soltustik Kazakhstan,31.0
2017,Percent,Age 15 years and older,Transferring files between computers and other devices,Soltustik Kazakhstan,31.3
2018,Percent,Age 15 years and older,Transferring files between computers and other devices,Soltustik Kazakhstan,36.3
2015,Percent,Age 15 years and older,Development of computer programs using a special software language,Soltustik Kazakhstan,1.8
2016,Percent,Age 15 years and older,Development of computer programs using a special software language,Soltustik Kazakhstan,1.0
2017,Percent,Age 15 years and older,Development of computer programs using a special software language,Soltustik Kazakhstan,1.8
2018,Percent,Age 15 years and older,Development of computer programs using a special software language,Soltustik Kazakhstan,1.8
2015,Percent,Age 15 years and older,Copying or transferring a file or folder,Turkistan,36.8
2016,Percent,Age 15 years and older,Copying or transferring a file or folder,Turkistan,35.8
2017,Percent,Age 15 years and older,Copying or transferring a file or folder,Turkistan,42.9
2018,Percent,Age 15 years and older,Copying or transferring a file or folder,Turkistan,43.0
2015,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Turkistan,9.3
2016,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Turkistan,7.8
2017,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Turkistan,9.8
2018,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Turkistan,19.4
2015,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Turkistan,29.5
2016,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Turkistan,33.6
2017,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Turkistan,41.1
2018,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Turkistan,47.7
2015,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Turkistan,29.6
2016,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Turkistan,32.1
2017,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Turkistan,45.8
2018,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Turkistan,43.5
2015,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Turkistan,9.2
2016,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Turkistan,12.8
2017,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Turkistan,18.2
2018,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Turkistan,17.3
2015,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Turkistan,10.4
2016,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Turkistan,6.5
2017,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Turkistan,17.1
2018,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Turkistan,17.2
2015,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Turkistan,12.5
2016,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Turkistan,16.2
2017,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Turkistan,26.6
2018,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Turkistan,20.0
2015,Percent,Age 15 years and older,Transferring files between computers and other devices,Turkistan,10.7
2016,Percent,Age 15 years and older,Transferring files between computers and other devices,Turkistan,16.9
2017,Percent,Age 15 years and older,Transferring files between computers and other devices,Turkistan,21.2
2018,Percent,Age 15 years and older,Transferring files between computers and other devices,Turkistan,23.3
2015,Percent,Age 15 years and older,Development of computer programs using a special software language,Turkistan,1.5
2016,Percent,Age 15 years and older,Development of computer programs using a special software language,Turkistan,1.6
2017,Percent,Age 15 years and older,Development of computer programs using a special software language,Turkistan,5.6
2018,Percent,Age 15 years and older,Development of computer programs using a special software language,Turkistan,7.0
2015,Percent,Age 15 years and older,Copying or transferring a file or folder,Shygys Kazakhstan,22.7
2016,Percent,Age 15 years and older,Copying or transferring a file or folder,Shygys Kazakhstan,25.0
2017,Percent,Age 15 years and older,Copying or transferring a file or folder,Shygys Kazakhstan,17.8
2018,Percent,Age 15 years and older,Copying or transferring a file or folder,Shygys Kazakhstan,15.9
2015,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Shygys Kazakhstan,17.1
2016,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Shygys Kazakhstan,9.0
2017,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Shygys Kazakhstan,8.2
2018,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Shygys Kazakhstan,6.8
2015,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Shygys Kazakhstan,48.5
2016,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Shygys Kazakhstan,42.6
2017,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Shygys Kazakhstan,49.3
2018,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Shygys Kazakhstan,49.0
2015,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Shygys Kazakhstan,39.4
2016,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Shygys Kazakhstan,43.2
2017,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Shygys Kazakhstan,30.8
2018,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Shygys Kazakhstan,34.4
2015,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Shygys Kazakhstan,5.9
2016,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Shygys Kazakhstan,6.6
2017,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Shygys Kazakhstan,20.6
2018,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Shygys Kazakhstan,18.2
2015,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Shygys Kazakhstan,4.0
2016,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Shygys Kazakhstan,7.5
2017,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Shygys Kazakhstan,16.0
2018,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Shygys Kazakhstan,15.0
2015,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Shygys Kazakhstan,16.7
2016,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Shygys Kazakhstan,14.8
2017,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Shygys Kazakhstan,24.1
2018,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Shygys Kazakhstan,23.1
2015,Percent,Age 15 years and older,Transferring files between computers and other devices,Shygys Kazakhstan,13.1
2016,Percent,Age 15 years and older,Transferring files between computers and other devices,Shygys Kazakhstan,16.6
2017,Percent,Age 15 years and older,Transferring files between computers and other devices,Shygys Kazakhstan,7.3
2018,Percent,Age 15 years and older,Transferring files between computers and other devices,Shygys Kazakhstan,8.4
2015,Percent,Age 15 years and older,Development of computer programs using a special software language,Shygys Kazakhstan,1.4
2016,Percent,Age 15 years and older,Development of computer programs using a special software language,Shygys Kazakhstan,1.4
2017,Percent,Age 15 years and older,Development of computer programs using a special software language,Shygys Kazakhstan,14.0
2018,Percent,Age 15 years and older,Development of computer programs using a special software language,Shygys Kazakhstan,11.6
2015,Percent,Age 15 years and older,Copying or transferring a file or folder,Nur-Sultan city,51.1
2016,Percent,Age 15 years and older,Copying or transferring a file or folder,Nur-Sultan city,34.7
2017,Percent,Age 15 years and older,Copying or transferring a file or folder,Nur-Sultan city,24.6
2018,Percent,Age 15 years and older,Copying or transferring a file or folder,Nur-Sultan city,26.2
2015,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Nur-Sultan city,46.8
2016,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Nur-Sultan city,28.9
2017,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Nur-Sultan city,23.9
2018,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Nur-Sultan city,24.5
2015,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Nur-Sultan city,77.0
2016,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Nur-Sultan city,75.2
2017,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Nur-Sultan city,58.6
2018,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Nur-Sultan city,63.5
2015,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Nur-Sultan city,58.3
2016,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Nur-Sultan city,58.5
2017,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Nur-Sultan city,64.3
2018,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Nur-Sultan city,55.0
2015,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Nur-Sultan city,33.5
2016,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Nur-Sultan city,24.1
2017,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Nur-Sultan city,23.2
2018,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Nur-Sultan city,24.5
2015,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Nur-Sultan city,38.1
2016,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Nur-Sultan city,48.3
2017,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Nur-Sultan city,55.1
2018,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Nur-Sultan city,41.6
2015,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Nur-Sultan city,39.2
2016,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Nur-Sultan city,30.5
2017,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Nur-Sultan city,26.5
2018,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Nur-Sultan city,28.7
2015,Percent,Age 15 years and older,Transferring files between computers and other devices,Nur-Sultan city,45.8
2016,Percent,Age 15 years and older,Transferring files between computers and other devices,Nur-Sultan city,34.4
2017,Percent,Age 15 years and older,Transferring files between computers and other devices,Nur-Sultan city,28.4
2018,Percent,Age 15 years and older,Transferring files between computers and other devices,Nur-Sultan city,34.0
2015,Percent,Age 15 years and older,Development of computer programs using a special software language,Nur-Sultan city,13.1
2016,Percent,Age 15 years and older,Development of computer programs using a special software language,Nur-Sultan city,25.1
2017,Percent,Age 15 years and older,Development of computer programs using a special software language,Nur-Sultan city,15.5
2018,Percent,Age 15 years and older,Development of computer programs using a special software language,Nur-Sultan city,22.5
2015,Percent,Age 15 years and older,Copying or transferring a file or folder,Almaty city,14.0
2016,Percent,Age 15 years and older,Copying or transferring a file or folder,Almaty city,118.3
2017,Percent,Age 15 years and older,Copying or transferring a file or folder,Almaty city,128.1
2018,Percent,Age 15 years and older,Copying or transferring a file or folder,Almaty city,20.9
2015,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Almaty city,22.8
2016,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Almaty city,58.8
2017,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Almaty city,65.3
2018,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Almaty city,14.9
2015,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Almaty city,60.1
2016,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Almaty city,203.9
2017,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Almaty city,236.5
2018,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Almaty city,57.4
