Year,Units,Жасы,Дағдылардың түрлері,Өңірлер,Value
2017,пайыз,15 жастан асқан және одан жоғары,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Ақтөбе,32.5
2018,пайыз,15 жастан асқан және одан жоғары,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Ақтөбе,53.5
2015,пайыз,15 жастан асқан және одан жоғары,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Ақтөбе,12.1
2016,пайыз,15 жастан асқан және одан жоғары,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Ақтөбе,15.9
2017,пайыз,15 жастан асқан және одан жоғары,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Ақтөбе,19.3
2018,пайыз,15 жастан асқан және одан жоғары,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Ақтөбе,24.9
2015,пайыз,15 жастан асқан және одан жоғары,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Ақтөбе,12.8
2016,пайыз,15 жастан асқан және одан жоғары,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Ақтөбе,14.6
2017,пайыз,15 жастан асқан және одан жоғары,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Ақтөбе,16.1
2018,пайыз,15 жастан асқан және одан жоғары,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Ақтөбе,20.6
2015,пайыз,15 жастан асқан және одан жоғары,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Ақтөбе,12.9
2016,пайыз,15 жастан асқан және одан жоғары,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Ақтөбе,21.1
2017,пайыз,15 жастан асқан және одан жоғары,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Ақтөбе,17.5
2018,пайыз,15 жастан асқан және одан жоғары,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Ақтөбе,30.9
2015,пайыз,15 жастан асқан және одан жоғары,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Ақтөбе,19.2
2016,пайыз,15 жастан асқан және одан жоғары,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Ақтөбе,15.9
2017,пайыз,15 жастан асқан және одан жоғары,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Ақтөбе,23.1
2018,пайыз,15 жастан асқан және одан жоғары,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Ақтөбе,31.7
2015,пайыз,15 жастан асқан және одан жоғары,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Ақтөбе,1.9
2016,пайыз,15 жастан асқан және одан жоғары,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Ақтөбе,4.8
2017,пайыз,15 жастан асқан және одан жоғары,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Ақтөбе,5.1
2018,пайыз,15 жастан асқан және одан жоғары,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Ақтөбе,6.4
2015,пайыз,15 жастан асқан және одан жоғары,Файлды немесе  папканы көшіру немесе жіберу,Алматы,21.6
2016,пайыз,15 жастан асқан және одан жоғары,Файлды немесе  папканы көшіру немесе жіберу,Алматы,19.6
2017,пайыз,15 жастан асқан және одан жоғары,Файлды немесе  папканы көшіру немесе жіберу,Алматы,20.9
2018,пайыз,15 жастан асқан және одан жоғары,Файлды немесе  папканы көшіру немесе жіберу,Алматы,19.3
2015,пайыз,15 жастан асқан және одан жоғары,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Алматы,17.2
2016,пайыз,15 жастан асқан және одан жоғары,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Алматы,13.4
2017,пайыз,15 жастан асқан және одан жоғары,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Алматы,15.4
2018,пайыз,15 жастан асқан және одан жоғары,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Алматы,15.1
2015,пайыз,15 жастан асқан және одан жоғары,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Алматы,48.2
2016,пайыз,15 жастан асқан және одан жоғары,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Алматы,50.7
2017,пайыз,15 жастан асқан және одан жоғары,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Алматы,63.3
2018,пайыз,15 жастан асқан және одан жоғары,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Алматы,61.2
2015,пайыз,15 жастан асқан және одан жоғары,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Алматы,30.4
2016,пайыз,15 жастан асқан және одан жоғары,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Алматы,36.8
2017,пайыз,15 жастан асқан және одан жоғары,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Алматы,35.8
2018,пайыз,15 жастан асқан және одан жоғары,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Алматы,47.2
2015,пайыз,15 жастан асқан және одан жоғары,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Алматы,6.6
2016,пайыз,15 жастан асқан және одан жоғары,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Алматы,14.1
2017,пайыз,15 жастан асқан және одан жоғары,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Алматы,16.5
2018,пайыз,15 жастан асқан және одан жоғары,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Алматы,16.8
2015,пайыз,15 жастан асқан және одан жоғары,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Алматы,8.4
2016,пайыз,15 жастан асқан және одан жоғары,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Алматы,7.5
2017,пайыз,15 жастан асқан және одан жоғары,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Алматы,16.2
2018,пайыз,15 жастан асқан және одан жоғары,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Алматы,9.4
2015,пайыз,15 жастан асқан және одан жоғары,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Алматы,8.5
2016,пайыз,15 жастан асқан және одан жоғары,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Алматы,24.1
2017,пайыз,15 жастан асқан және одан жоғары,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Алматы,13.6
2018,пайыз,15 жастан асқан және одан жоғары,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Алматы,13.7
2015,пайыз,15 жастан асқан және одан жоғары,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Алматы,16.8
2016,пайыз,15 жастан асқан және одан жоғары,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Алматы,8.4
2017,пайыз,15 жастан асқан және одан жоғары,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Алматы,10.8
2018,пайыз,15 жастан асқан және одан жоғары,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Алматы,11.0
2015,пайыз,15 жастан асқан және одан жоғары,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Алматы,1.8
2016,пайыз,15 жастан асқан және одан жоғары,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Алматы,1.3
2017,пайыз,15 жастан асқан және одан жоғары,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Алматы,2.4
2018,пайыз,15 жастан асқан және одан жоғары,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Алматы,1.0
2015,пайыз,15 жастан асқан және одан жоғары,Файлды немесе  папканы көшіру немесе жіберу,Атырау,18.6
2016,пайыз,15 жастан асқан және одан жоғары,Файлды немесе  папканы көшіру немесе жіберу,Атырау,23.0
2017,пайыз,15 жастан асқан және одан жоғары,Файлды немесе  папканы көшіру немесе жіберу,Атырау,33.1
2018,пайыз,15 жастан асқан және одан жоғары,Файлды немесе  папканы көшіру немесе жіберу,Атырау,30.2
2015,пайыз,15 жастан асқан және одан жоғары,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Атырау,10.9
2016,пайыз,15 жастан асқан және одан жоғары,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Атырау,7.4
2017,пайыз,15 жастан асқан және одан жоғары,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Атырау,8.7
2018,пайыз,15 жастан асқан және одан жоғары,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Атырау,19.2
2015,пайыз,15 жастан асқан және одан жоғары,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Атырау,49.5
2016,пайыз,15 жастан асқан және одан жоғары,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Атырау,62.5
2017,пайыз,15 жастан асқан және одан жоғары,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Атырау,62.0
2018,пайыз,15 жастан асқан және одан жоғары,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Атырау,47.9
2015,пайыз,15 жастан асқан және одан жоғары,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Атырау,23.5
2016,пайыз,15 жастан асқан және одан жоғары,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Атырау,27.0
2017,пайыз,15 жастан асқан және одан жоғары,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Атырау,25.1
2018,пайыз,15 жастан асқан және одан жоғары,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Атырау,43.9
2015,пайыз,15 жастан асқан және одан жоғары,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Атырау,3.8
2016,пайыз,15 жастан асқан және одан жоғары,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Атырау,9.1
2017,пайыз,15 жастан асқан және одан жоғары,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Атырау,8.8
2018,пайыз,15 жастан асқан және одан жоғары,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Атырау,11.2
2015,пайыз,15 жастан асқан және одан жоғары,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Атырау,3.4
2016,пайыз,15 жастан асқан және одан жоғары,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Атырау,13.5
2017,пайыз,15 жастан асқан және одан жоғары,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Атырау,13.9
2018,пайыз,15 жастан асқан және одан жоғары,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Атырау,27.1
2015,пайыз,15 жастан асқан және одан жоғары,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Атырау,12.2
2016,пайыз,15 жастан асқан және одан жоғары,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Атырау,7.6
2017,пайыз,15 жастан асқан және одан жоғары,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Атырау,18.6
2018,пайыз,15 жастан асқан және одан жоғары,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Атырау,19.4
2015,пайыз,15 жастан асқан және одан жоғары,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Атырау,21.0
2016,пайыз,15 жастан асқан және одан жоғары,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Атырау,14.4
2017,пайыз,15 жастан асқан және одан жоғары,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Атырау,22.3
2018,пайыз,15 жастан асқан және одан жоғары,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Атырау,33.3
2015,пайыз,15 жастан асқан және одан жоғары,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Атырау,3.2
2016,пайыз,15 жастан асқан және одан жоғары,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Атырау,5.1
2017,пайыз,15 жастан асқан және одан жоғары,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Атырау,5.5
2018,пайыз,15 жастан асқан және одан жоғары,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Атырау,4.5
2015,пайыз,15 жастан асқан және одан жоғары,Файлды немесе  папканы көшіру немесе жіберу,Батыс Қазақстан,24.2
2016,пайыз,15 жастан асқан және одан жоғары,Файлды немесе  папканы көшіру немесе жіберу,Батыс Қазақстан,24.0
2017,пайыз,15 жастан асқан және одан жоғары,Файлды немесе  папканы көшіру немесе жіберу,Батыс Қазақстан,23.8
2018,пайыз,15 жастан асқан және одан жоғары,Файлды немесе  папканы көшіру немесе жіберу,Батыс Қазақстан,34.0
2015,пайыз,15 жастан асқан және одан жоғары,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Батыс Қазақстан,22.5
2016,пайыз,15 жастан асқан және одан жоғары,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Батыс Қазақстан,11.5
2017,пайыз,15 жастан асқан және одан жоғары,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Батыс Қазақстан,18.4
2018,пайыз,15 жастан асқан және одан жоғары,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Батыс Қазақстан,22.1
2015,пайыз,15 жастан асқан және одан жоғары,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Батыс Қазақстан,76.6
2016,пайыз,15 жастан асқан және одан жоғары,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Батыс Қазақстан,69.9
2017,пайыз,15 жастан асқан және одан жоғары,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Батыс Қазақстан,63.1
2018,пайыз,15 жастан асқан және одан жоғары,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Батыс Қазақстан,48.7
2015,пайыз,15 жастан асқан және одан жоғары,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Батыс Қазақстан,46.0
2016,пайыз,15 жастан асқан және одан жоғары,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Батыс Қазақстан,28.5
2017,пайыз,15 жастан асқан және одан жоғары,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Батыс Қазақстан,38.2
2018,пайыз,15 жастан асқан және одан жоғары,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Батыс Қазақстан,54.3
2015,пайыз,15 жастан асқан және одан жоғары,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Батыс Қазақстан,12.3
2016,пайыз,15 жастан асқан және одан жоғары,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Батыс Қазақстан,7.5
2017,пайыз,15 жастан асқан және одан жоғары,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Батыс Қазақстан,16.2
2018,пайыз,15 жастан асқан және одан жоғары,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Батыс Қазақстан,24.2
2015,пайыз,15 жастан асқан және одан жоғары,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Батыс Қазақстан,15.8
2016,пайыз,15 жастан асқан және одан жоғары,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Батыс Қазақстан,6.8
2017,пайыз,15 жастан асқан және одан жоғары,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Батыс Қазақстан,7.4
2018,пайыз,15 жастан асқан және одан жоғары,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Батыс Қазақстан,23.2
2015,пайыз,15 жастан асқан және одан жоғары,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Батыс Қазақстан,21.9
2016,пайыз,15 жастан асқан және одан жоғары,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Батыс Қазақстан,14.0
2017,пайыз,15 жастан асқан және одан жоғары,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Батыс Қазақстан,18.8
2018,пайыз,15 жастан асқан және одан жоғары,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Батыс Қазақстан,23.1
2015,пайыз,15 жастан асқан және одан жоғары,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Батыс Қазақстан,16.9
2016,пайыз,15 жастан асқан және одан жоғары,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Батыс Қазақстан,9.2
2017,пайыз,15 жастан асқан және одан жоғары,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Батыс Қазақстан,12.2
2018,пайыз,15 жастан асқан және одан жоғары,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Батыс Қазақстан,20.2
2015,пайыз,15 жастан асқан және одан жоғары,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Батыс Қазақстан,7.4
2016,пайыз,15 жастан асқан және одан жоғары,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Батыс Қазақстан,2.3
2017,пайыз,15 жастан асқан және одан жоғары,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Батыс Қазақстан,3.1
2018,пайыз,15 жастан асқан және одан жоғары,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Батыс Қазақстан,17.3
2015,пайыз,15 жастан асқан және одан жоғары,Файлды немесе  папканы көшіру немесе жіберу,Жамбыл,11.5
2016,пайыз,15 жастан асқан және одан жоғары,Файлды немесе  папканы көшіру немесе жіберу,Жамбыл,17.6
2017,пайыз,15 жастан асқан және одан жоғары,Файлды немесе  папканы көшіру немесе жіберу,Жамбыл,20.7
2018,пайыз,15 жастан асқан және одан жоғары,Файлды немесе  папканы көшіру немесе жіберу,Жамбыл,37.6
2015,пайыз,15 жастан асқан және одан жоғары,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Жамбыл,6.1
2016,пайыз,15 жастан асқан және одан жоғары,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Жамбыл,9.6
2017,пайыз,15 жастан асқан және одан жоғары,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Жамбыл,10.9
2018,пайыз,15 жастан асқан және одан жоғары,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Жамбыл,13.4
2015,пайыз,15 жастан асқан және одан жоғары,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Жамбыл,20.9
2016,пайыз,15 жастан асқан және одан жоғары,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Жамбыл,27.3
2017,пайыз,15 жастан асқан және одан жоғары,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Жамбыл,40.6
2018,пайыз,15 жастан асқан және одан жоғары,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Жамбыл,45.5
2015,пайыз,15 жастан асқан және одан жоғары,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Жамбыл,27.0
2016,пайыз,15 жастан асқан және одан жоғары,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Жамбыл,35.9
2017,пайыз,15 жастан асқан және одан жоғары,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Жамбыл,33.2
2018,пайыз,15 жастан асқан және одан жоғары,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Жамбыл,43.1
2015,пайыз,15 жастан асқан және одан жоғары,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Жамбыл,5.9
2016,пайыз,15 жастан асқан және одан жоғары,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Жамбыл,5.8
2017,пайыз,15 жастан асқан және одан жоғары,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Жамбыл,8.1
2018,пайыз,15 жастан асқан және одан жоғары,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Жамбыл,11.7
2015,пайыз,15 жастан асқан және одан жоғары,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Жамбыл,9.3
2016,пайыз,15 жастан асқан және одан жоғары,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Жамбыл,12.5
2017,пайыз,15 жастан асқан және одан жоғары,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Жамбыл,17.9
2018,пайыз,15 жастан асқан және одан жоғары,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Жамбыл,18.6
2015,пайыз,15 жастан асқан және одан жоғары,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Жамбыл,14.1
2016,пайыз,15 жастан асқан және одан жоғары,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Жамбыл,12.5
2017,пайыз,15 жастан асқан және одан жоғары,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Жамбыл,14.5
2018,пайыз,15 жастан асқан және одан жоғары,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Жамбыл,16.2
2015,пайыз,15 жастан асқан және одан жоғары,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Жамбыл,6.6
2016,пайыз,15 жастан асқан және одан жоғары,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Жамбыл,13.0
2017,пайыз,15 жастан асқан және одан жоғары,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Жамбыл,20.5
2018,пайыз,15 жастан асқан және одан жоғары,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Жамбыл,13.5
2015,пайыз,15 жастан асқан және одан жоғары,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Жамбыл,0.9
2016,пайыз,15 жастан асқан және одан жоғары,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Жамбыл,2.5
2017,пайыз,15 жастан асқан және одан жоғары,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Жамбыл,4.3
2018,пайыз,15 жастан асқан және одан жоғары,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Жамбыл,6.1
2015,пайыз,15 жастан асқан және одан жоғары,Файлды немесе  папканы көшіру немесе жіберу,Қарағанды,32.1
2016,пайыз,15 жастан асқан және одан жоғары,Файлды немесе  папканы көшіру немесе жіберу,Қарағанды,40.1
2017,пайыз,15 жастан асқан және одан жоғары,Файлды немесе  папканы көшіру немесе жіберу,Қарағанды,34.3
2018,пайыз,15 жастан асқан және одан жоғары,Файлды немесе  папканы көшіру немесе жіберу,Қарағанды,38.2
2015,пайыз,15 жастан асқан және одан жоғары,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Қарағанды,25.1
2016,пайыз,15 жастан асқан және одан жоғары,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Қарағанды,19.5
2017,пайыз,15 жастан асқан және одан жоғары,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Қарағанды,26.6
2018,пайыз,15 жастан асқан және одан жоғары,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Қарағанды,26.3
2015,пайыз,15 жастан асқан және одан жоғары,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Қарағанды,52.9
2016,пайыз,15 жастан асқан және одан жоғары,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Қарағанды,54.8
2017,пайыз,15 жастан асқан және одан жоғары,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Қарағанды,56.2
2018,пайыз,15 жастан асқан және одан жоғары,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Қарағанды,58.6
2015,пайыз,15 жастан асқан және одан жоғары,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Қарағанды,30.1
2016,пайыз,15 жастан асқан және одан жоғары,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Қарағанды,37.8
2017,пайыз,15 жастан асқан және одан жоғары,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Қарағанды,39.7
