Year,Units,Көлік түрлері,Өңірлер,GeoCode,Value
2018,млн.адам,әуе көлікпен тасымалданған жолаушылар,Қарағанды,,8.0
2012,млн.адам,әуе көлікпен тасымалданған жолаушылар,Батыс Қазақстан,,7.2
2013,млн.адам,әуе көлікпен тасымалданған жолаушылар,Батыс Қазақстан,,140.1
2014,млн.адам,әуе көлікпен тасымалданған жолаушылар,Батыс Қазақстан,,354.7
2015,млн.адам,әуе көлікпен тасымалданған жолаушылар,Батыс Қазақстан,,332.4
2018,млн.адам,әуе көлікпен тасымалданған жолаушылар,Батыс Қазақстан,,910.1
2011,млн.адам,әуе көлікпен тасымалданған жолаушылар,Маңғыстау,,23.8
2010,млн.адам,әуе көлікпен тасымалданған жолаушылар,Оңтүстік Қазақстан,,668.5
2011,млн.адам,әуе көлікпен тасымалданған жолаушылар,Оңтүстік Қазақстан,,900.2
2012,млн.адам,әуе көлікпен тасымалданған жолаушылар,Оңтүстік Қазақстан,,1095.8
2013,млн.адам,әуе көлікпен тасымалданған жолаушылар,Оңтүстік Қазақстан,,1109.6
2014,млн.адам,әуе көлікпен тасымалданған жолаушылар,Оңтүстік Қазақстан,,1254.7
2015,млн.адам,әуе көлікпен тасымалданған жолаушылар,Оңтүстік Қазақстан,,1224.7
2016,млн.адам,әуе көлікпен тасымалданған жолаушылар,Оңтүстік Қазақстан,,1288.9
2017,млн.адам,әуе көлікпен тасымалданған жолаушылар,Оңтүстік Қазақстан,,1931.8
2010,млн.адам,әуе көлікпен тасымалданған жолаушылар,Павлодар,,4.0
2011,млн.адам,әуе көлікпен тасымалданған жолаушылар,Павлодар,,0.8
2010,млн.адам,әуе көлікпен тасымалданған жолаушылар,Шығыс Қазақстан,,16.1
2011,млн.адам,әуе көлікпен тасымалданған жолаушылар,Шығыс Қазақстан,,17.2
2012,млн.адам,әуе көлікпен тасымалданған жолаушылар,Шығыс Қазақстан,,5.1
2010,млн.адам,әуе көлікпен тасымалданған жолаушылар,Нұр-Сұлтан қаласы,,14.8
2011,млн.адам,әуе көлікпен тасымалданған жолаушылар,Нұр-Сұлтан қаласы,,24.2
2012,млн.адам,әуе көлікпен тасымалданған жолаушылар,Нұр-Сұлтан қаласы,,5.5
2013,млн.адам,әуе көлікпен тасымалданған жолаушылар,Нұр-Сұлтан қаласы,,1.3
2014,млн.адам,әуе көлікпен тасымалданған жолаушылар,Нұр-Сұлтан қаласы,,1.4
2015,млн.адам,әуе көлікпен тасымалданған жолаушылар,Нұр-Сұлтан қаласы,,5.2
2016,млн.адам,әуе көлікпен тасымалданған жолаушылар,Нұр-Сұлтан қаласы,,34.6
2017,млн.адам,әуе көлікпен тасымалданған жолаушылар,Нұр-Сұлтан қаласы,,33.2
2018,млн.адам,әуе көлікпен тасымалданған жолаушылар,Нұр-Сұлтан қаласы,,31.08
2010,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы қаласы,,2623.1
2011,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы қаласы,,3124.3
2012,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы қаласы,,3308.3
2013,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы қаласы,,3699.1
2014,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы қаласы,,3786.8
2015,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы қаласы,,4324.4
2016,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы қаласы,,3945.5
2017,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы қаласы,,4467.0
2018,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы қаласы,,4694.4
2018,млн.адам,әуе көлікпен тасымалданған жолаушылар,Шымкент қаласы,,2207.4
2010,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,,,194.0
2011,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,,,214.1
2012,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,,,213.2
2013,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,,,225.9
2014,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,,,225.0
2015,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,,,214.6
2016,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,,,205.8
2017,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,,,232.8
2018,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,,,280.8
2010,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Атырау,,66.3
2011,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Атырау,,68.1
2012,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Атырау,,68.2
2013,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Атырау,,68.7
2014,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Атырау,,69.0
2015,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Атырау,,68.6
2016,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Атырау,,70.1
2017,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Атырау,,78.3
2018,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Атырау,,113.9
2010,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Павлодар,,20.2
2011,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Павлодар,,26.3
2012,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Павлодар,,25.7
2013,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Павлодар,,32.5
2014,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Павлодар,,35.4
2017,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Павлодар,,43.5
2018,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Павлодар,,43.6
2010,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Өңірлер бойынша таралмаған мөлшер,,107.5
2011,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Өңірлер бойынша таралмаған мөлшер,,119.7
2012,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Өңірлер бойынша таралмаған мөлшер,,119.3
2013,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Өңірлер бойынша таралмаған мөлшер,,124.6
2014,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Өңірлер бойынша таралмаған мөлшер,,120.6
2015,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Өңірлер бойынша таралмаған мөлшер,,112.4
2016,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Өңірлер бойынша таралмаған мөлшер,,102.5
2018,млн.тонна,құбыр көлігінің жұмыс көрсеткіштері,Өңірлер бойынша таралмаған мөлшер,,123.2
2010,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,,,4.7
2011,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,,,4.6
2012,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,,,4.0
2013,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,,,4.0
2014,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,,,3.6
2015,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,,,2.5
2016,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,,,2.6
2017,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,,,2.1
2018,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,,,1.8
2010,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,Маңғыстау,,4.7
2011,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,Маңғыстау,,4.6
2012,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,Маңғыстау,,4.0
2013,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,Маңғыстау,,4.0
2014,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,Маңғыстау,,3.6
2015,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,Маңғыстау,,2.5
2016,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,Маңғыстау,,2.6
2017,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,Маңғыстау,,2.1
2018,млн.тонна,теңіз және су жағасындағы көліктер жұмысының көрсеткіштері,Маңғыстау,,1.8
