Year,Units,Интернет жылдамдығы,Өңірлер,GeoCode,Value
2012,мың бірлік,выше 10 Мбит/сек,Атырау,,6.9
2013,мың бірлік,выше 10 Мбит/сек,Атырау,,11.388
2014,мың бірлік,выше 10 Мбит/сек,Атырау,,18.27
2015,мың бірлік,выше 10 Мбит/сек,Атырау,,18.767
2016,мың бірлік,выше 10 Мбит/сек,Атырау,,21.114
2017,мың бірлік,выше 10 Мбит/сек,Атырау,,22.685
2018,мың бірлік,выше 10 Мбит/сек,Атырау,,23.7
2012,мың бірлік,выше 10 Мбит/сек,Батыс Қазақстан,,2.0
2013,мың бірлік,выше 10 Мбит/сек,Батыс Қазақстан,,7.405
2014,мың бірлік,выше 10 Мбит/сек,Батыс Қазақстан,,12.217
2015,мың бірлік,выше 10 Мбит/сек,Батыс Қазақстан,,14.834000000000001
2016,мың бірлік,выше 10 Мбит/сек,Батыс Қазақстан,,15.024000000000001
2017,мың бірлік,выше 10 Мбит/сек,Батыс Қазақстан,,16.008
2018,мың бірлік,выше 10 Мбит/сек,Батыс Қазақстан,,16.0
2012,мың бірлік,выше 10 Мбит/сек,Жамбыл,,1.4
2013,мың бірлік,выше 10 Мбит/сек,Жамбыл,,9.902999999999999
2014,мың бірлік,выше 10 Мбит/сек,Жамбыл,,12.41
2015,мың бірлік,выше 10 Мбит/сек,Жамбыл,,11.981
2016,мың бірлік,выше 10 Мбит/сек,Жамбыл,,13.652000000000001
2017,мың бірлік,выше 10 Мбит/сек,Жамбыл,,15.542
